root	deva	gana	voice	voice_attested	aupadeshika_guess	artha_guess	mw_meaning	attested	note	mw_id
mfg	मृग्	4	P.		mfga~		to chase, hunt, pursue, &c. &c.	-tas|sakASAt		166791
mind	मिन्द्	4	P.	P.	minda~	vfdDO	to grow fat	mindayati|medayati|mitra		164438.1
mis	मिस्	4	P.	P.	misa~	gatO	to go	misyati		164568
mrit	म्रित्	4	P.	P.	mrita~	vayohAnO	to decay, be dissolved	mrityati		168890
naK	नख्	4		P.	naKa~	gatO	and , to go, move,;	naKyati|naKati|naNKati		102937
naNK	नङ्ख्	4		P.	naNKa~	gatO	and , to go, move,;	naKyati|naKati|naNKati|naK		102937.1
pac	पच्	4	Ā.	P. Ā.	paca~\	pAke	to cook, bake, roast, boil (Ā. also ‘for one's self’), &c. &c.	tandulAn odanam pacati|puRyApuRyaM suKAsuKam|pacyate|°ti|apAci	voice cp=Ā. vs attested=P. Ā.	113414
pat	पत्	4	Ā.		pata~\	pAlane	to be master, reign, rule, govern, control, own, possess, dispose of (acc. or in	pati		114697
pis	पिस्	4	P.	P.	pisa~		to stretch, expand	pesati|pesayati|piz		124600
plus	प्लुस्	4	P.		plusa~	dAhe	to burn, (v.l. for )			141577
pruz	प्रुष्	4	P.	P.	pruza~	secane	to sprinkle, shower, wet, moisten	pruzAyati|°te|pruzRAti|pruzRat|pruzyati		140871
qimB	डिम्भ्	4		P. Ā.	qimBa~^	kzepe	to heap together, : cl. 4. 10. 6. P. , , (v.l. ,) Ā. , to throw	qepayate|qimp°|qimB°|qipyati|qipati		81417.2
qimp	डिम्प्	4		P. Ā.	qimpa~^	kzepe	to heap together, : cl. 4. 10. 6. P. , , (v.l. ,) Ā. , to throw	qepayate|qimp°|qimB°|qipyati|qipati		81417.1
raj	रज्	4	P. Ā.	P. Ā.	raji~^	darSane	See √ .	raYj|rajati|°te|rajayati|raYjayati	attested has nasal → i~ (idit)	173300
ran	रन्	4	P.	P.	rana~	grahaRe	to rejoice, be pleased, take pleasure in (loc., rarely acc.)	raRqyati|°te|rAraRat|rAran|rAranDi		174075.1
ranD	रन्ध्	4	P.	P. Ā.	ranDa~		to become subject to (dat.), be subdued or overthrown, succumb	rAD|ranDayati|°te|rIraDat|araranDat	voice cp=P. vs attested=P. Ā.	174809.1
raR	रण्	4	P.	P.	raRa~	grahaRe	to rejoice, be pleased, take pleasure in (loc., rarely acc.)	raRqyati|°te|rAraRat|rAran|rAranDi		174075
ri	रि	4	P. Ā.	P. Ā.	ri^	gatO	to release, set free, let go	repayati|arIripat|rirIzati|°te|rerIyate		178179.1
ric	रिच्	4	Ā.	P. Ā.	rica~\		(cf. Pass.) (ep. also ; pf. , , &c. &c.: , , ; p. , , ; aor. , ; , ; ; , ; fut. 	ricyate|°ti|rireca|ririce|riricyAm	voice cp=Ā. vs attested=P. Ā.	177975
sAD	साध्	4		P. Ā.	sADa~^		accord. to and , cl. 4. , cl. 5. (in also ; pf. ; aor. ; fut. , ; inf. , in late	sADyati|sADnoti|saDnoti|sasADa|asAtsIt		241500
sah	सह्	4	P.		saha~	prIRane	to , delight	satisfy|sah		240101
SI	शी	4	Ā.	Ā.	SI\	patane	(connected with √ ; cf.) cl. 4. Ā. , to fall out or away, disappear, vanish,;	Sad|SIyate		218176
siD	सिध्	4	P.	P. Ā.	siDa~		to be accomplished or fulfilled or effected or settled, be successful, succeed, 	seDayati|asIziDat|sADayati|saD°|sizitsati	voice cp=P. vs attested=P. Ā.	244301
Sim	शिम्	4	P.	P.	Sima~	Cedane	(= √ ) cl. 4. P. , to cut up, prepare (a sacrificial victim),;	Sam|Simyati		217043
siv	सिव्	4	P.	P. Ā.	siva~	saNGAte	to sew, sew on, darn, stitch, stitch together, (fig.) join, unite, &c. &c.	sIvayati|sevayati|asIzivat|sisevizati|susyUzati	voice cp=P. vs attested=P. Ā.	244996
snA	स्ना	4	P. Ā.	P. Ā.	snA^	karaRe	to bathe, perform the ceremony of bathing or certain prescribed oblations (esp. 	avaBfTam|snAyate|asnAyi|snApayati|snapayati		256200
snih	स्निह्	4	P.	P. Ā.	sniha~		to be adhesive or sticky or glutinous or viscid or moist	snehati|snihyate|asnehi|snehayati|asizRihat	voice cp=P. vs attested=P. Ā.	256298
snuh	स्नुह्	4	P.		snuha~		to vomit	snih|snUhan		256475
snus	स्नुस्	4	P.		snusa~	BakzaRe	to eat			256474
so	सो	4	P.	P. Ā.	so	hiMsAyAm	to destroy, kill, finish	sIyate|asAyi|sAyayati|sApayati|sizAsati	voice cp=P. vs attested=P. Ā.	252524
SrA	श्रा	4	P.	P. Ā.	SrA		to also cl. 2. P. ; pf. ; aor. ; Prec. or inf. Gr.)	SrAyate|aSrAyi|Srapayati|°te|aSiSrapat	voice cp=P. vs attested=P. Ā.	222686
SrE	श्रै	4	P.	P. Ā.	SrE		to also cl. 2. P. ; pf. ; aor. ; Prec. or inf. Gr.)	SrAyate|aSrAyi|Srapayati|°te|aSiSrapat	voice cp=P. vs attested=P. Ā.	222686.1
srIv	स्रीव्	4	P.	P. Ā.	srIva~		to fail, turn out badly	garBam|srevayati|srIvayati|sisrevizati|susrUzati	voice cp=P. vs attested=P. Ā.	257618.1
stIm	स्तीम्	4	P.		stIma~		to be or become wet or moist	stim		254599.1
stUp	स्तूप्	4		P.	stUpa~		(prob. invented as a root for below) cl. 4. 10. P. , or , to heap up, pile, erec	stUpa|stUpyati|stUpayati		254826
SUl	शूल्	4	P. Ā.	P. Ā.	SUla~^	Sabde	(rather Nom. fr. next) cl. 1. P. , to hurt, cause pain (), (only occurring in Ā.	SUlati|SUlate|SUlyati|°te|saMGoze		220376
SunD	शुन्ध्	4	P. Ā.	P. Ā.	SunDa~^		to purify (Ā. ‘one's self’, become or be pure)	SuDyati|°te|SuSoDa|aSuDat|SodDA		219366.1
tan	तन्	4			tana~	Sabde	to resound, roar			82220
truw	त्रुट्	4	Ā.	P.	truwa~\	Cedane	to be torn or split, tear, break, fall asunder	trowayati|°yitvA|°yate|ut-	voice cp=Ā. vs attested=P.	88608
tur	तुर्	4	Ā.	P. Ā.	tura~\		to hurry, press forwards, (p. ), (Ā. ) : cl. 4. (Imper. )	tutorti|turayate|°rayat|tUtUrzati|tarturARa	voice cp=Ā. vs attested=P. Ā.	85972
vI	वी	4	P. Ā.	Ā.	vI^	gatO	to go apart or in different directions, diverge, be diffused or scattered or dis	vIyate	voice cp=P. Ā. vs attested=Ā.	203350
zWIv	ष्ठीव्	4	P.	P. Ā.	zWIva~		to spit, spit out, expectorate, spit upon (loc.)	zWIvyate|azWevi|zWevayati|awizWivat|atizWivat	voice cp=P. vs attested=P. Ā.	225563.1
akz	अक्ष्	5		P.	akz	vyAptO	to reach	akzayati|Acikzat|acikzizati|acikzati|akzRute		423
anvaS	अन्वश्	5	P. Ā.		anvaS^	gatO	Ā , , to reach, come up to, equal,;	-aSnoti|-nute		8802
caG	चघ्	5			caG	hiMsAyAm	to smite or slay, kill	°Gnoti		70734
daB	दभ्	5	Ā.	P. Ā.	daB\	hiMsAyAm	to hurt, injure, destroy	dameBayat|°yas|°ya|damBayati|dAB°	voice cp=Ā. vs attested=P. Ā.	90227
damB	दम्भ्	5	Ā.	P. Ā.	damB\	hiMsAyAm	to hurt, injure, destroy	damBayat|°yas|°ya|damBayati|dAB°	voice cp=Ā. vs attested=P. Ā.	90227.1
dAs	दास्	5	P.	P.	dAs	hiMsAyAm	P. , , to give () cl. 5. P. (v.l. for ,; ib.), to hurt, injure. (There occurs on	dAsati|°te|dAsnoti|dAS|dAsati		91919
Di	धि	5	P.		Di	pAlane	to nourish, satiate	satisfy		101191
Dinv	धिन्व्	5	P.		Dinv	pAlane	to nourish, satiate	satisfy		101191.1
dru	द्रु	5	P.		dru	hiMsAyAm	to hurt, injure	drU		97845
drU	द्रू	5	P.		drU	kzepe	to hurl, throw, (v.l. )	drURoti		97987
dU	दू	5	P.	P. Ā.	dU		to be burnt, to be consumed with internal heat or sorrow (Pres. , ; ; ; but ofte	dunoti|dUyate|dunoti|dAvayati|adUduvat	voice cp=P. vs attested=P. Ā.	93282.1
f	ऋ	5	P. Ā.		f^	gatO	and , to go, move, rise, tend upwards, ; &c.	Ara|arizyati|Arat|ArzIt|iyarti vAcam		38410
Gf	घृ	5			Gf	dIptO	to shine, burn, : cl. 5. (or cl. 8. fr. √ ) Ā. P. , or , id.,.	jiGarti|GfR|GfRoti|°Rute|GarRoti		70066
kF	कॄ	5		P.	kF	hiMsAyAm	to hurt, injure, kill	kfRvati		55568
kzuB	क्षुभ्	5	P.	P.	kzuB	viloqane	to shake, tremble, be agitated or disturbed, be unsteady, stumble (literally and	kzoBayati|°te|cukzoBayizu		60128
pruz	प्रुष्	5	P. Ā.	P.	pruz^	secane	to sprinkle, shower, wet, moisten	pruzAyati|°te|pruzRAti|pruzRat|pruzyati	voice cp=P. Ā. vs attested=P.	140871
saG	सघ्	5	P.		saG	grahaRe	to take upon one's self, be able to bear, be a match for (acc.)			227922
si	सि	5		P. Ā.	si^	banDane	to bind, tie, fetter	sAyayati|asIzayat|sisIzati|°te|sezIyate		243722
skaB	स्कभ्	5		P.	skaB		to also cl. 1. Ā. ; pr. p. , ; , ; pf. , 2. du. , ; p. , ; aor. Gr.; fut. , , ; 	skamBayati|acaskamBat|skamBita|skaBAyati|skaBita		254241.1
skamB	स्कम्भ्	5		P.	skamB		to also cl. 1. Ā. ; pr. p. , ; , ; pf. , 2. du. , ; p. , ; aor. Gr.; fut. , , ; 	skamBayati|acaskamBat|skamBita|skaBAyati|skaBita		254241
sku	स्कु	5		P. Ā.	sku^		(only and and , ? and ; cf. and )	skunAti|skunIte|-skunoti|-skOti|askunAt		254257
skumB	स्कुम्भ्	5			skumB	grahaRe	(in native lists written ; connected with √ ) cl. 5. 9. P. (;) , ( ind.p.]), to 	skunB|skamB|skuBnoti|skuBnoti|skuptvA		254260
Sru	श्रु	5	P. Ā.	P. Ā.	Sru^	dAne	to hear, listen or attend to anything (acc.), give ear to any one (acc. or gen.)	muKAt|SakASAt|SrUyate|°ti|SfRve		223393
staB	स्तभ्	5		P. Ā.	staB^	DAraRe	to fix firmly, support, sustain, prop (esp. the heavens)	staByate|astamBi|staBAyati|stamBayati|°te		254463.1
stamB	स्तम्भ्	5		P. Ā.	stamB^	DAraRe	to fix firmly, support, sustain, prop (esp. the heavens)	staByate|astamBi|staBAyati|stamBayati|°te		254463
stF	स्तॄ	5	P. Ā.	P. Ā.	stF^		to spread, spread out or about, strew, scatter (esp. the sacrificial grass; in t	stIryate|°ti|striyate|staryate|astAri		254842.1
stiG	स्तिघ्	5	P. Ā.		stiG^		to Ā. ; Pot. inf. ; Gr. also pf. ; aor. ; fut. , ; inf. )	ati-√ stiG|pra-√ stiG|tizwiGizati|ati-tizwiGizan		254590
stumB	स्तुम्भ्	5			stumB	stamBe	(cf. √ and ; in native lists written ) cl. 5. 9. P. , , to stop, stupefy; expel 	stamB|stuB|stunB|stuBnoti|stuBnAti		254821
su	सु	5	P. Ā.	P. Ā.	su^	karaRe	to on , also with act. sense]; aor. accord. to Gr. or , or ; in also Impv. , , a	sUyate|sunve|sunvire|asAvi|-sAvayati		245241
takz	तक्ष्	5	Ā.	P.	takz\		to form by cutting, plane, chisel, chop, &c.	tvac|takzayati|atatakzat|tvakz	voice cp=Ā. vs attested=P.	81602
tF	तॄ	5		P.	tF		to pass across or over, cross over (a river), sail across, &c.	tArayati|°rayat|titIrzati|titarizati|°rIz°		86817
tiG	तिघ्	5			tiG	hiMsAyAm	to hurt, kill (= √ ), ().	°Gnoti|tik		84749
u	उ	5	P.		u		to call to, hail	ota|A-uta		30001
anvfD	अन्वृध्	6	P.		anvfDa~	DAraRe	to carry out, accomplish	-fDati		8926
ard	अर्द्	6	P.	P.	arda~	gatO	to move, be moved, be scattered (as dust), and cl. 1. P. (, ‘to go, move’, )	ardati|ardati|ArdIt|anarda|fRatti		16095
BfS	भृश्	6	P.	P.	BfSa~	patane	to fall, fall down	BfSati		152731
Brajj	भ्रज्ज्	6	P. Ā.	P. Ā.	Brajja~^	SozaRe	to fry, parch, roast (esp. grain), ; &c.	Bfjjyate|°ti|BfjjyamAna|Barjayati|Bfj		153489
Bruq	भ्रुड्	6	P.	P.	Bruqa~	saMvaraRe	to cover or to collect,;	Bruqati		153768
buq	बुड्	6	P.		buqa~	saMvaraRe	to cover, conceal, (v.l. for )	puq		145556
cup	चुप्	6			cupa~		v.l. for √ .	Cup		74616
cuR	चुण्	6			cuRa~	Cedane	to split, cut off			74562
cuRq	चुण्ड्	6		P.	cuRqa~	Cedane	(and , ), cl. 6. 10. (), (, ), to split, cut off, : cl. 1. (, ), to become small	cuRw|cuRq|cuwati|cuRw°|cowayati		74558.02
cuRw	चुण्ट्	6		P.	cuRwa~	Cedane	(and , ), cl. 6. 10. (), (, ), to split, cut off, : cl. 1. (, ), to become small	cuRw|cuRq|cuwati|cuRw°|cowayati		74558.01
daMS	दंश्	6	Ā.	Ā.	daMSa~\		to bite, ; ; &c.	dandaSyate|°SIti|dandazwi|°daMzwi|dandaSAna		89231
druq	द्रुड्	6	P.	P.	druqa~	kzaye	and , to sink, perish, (v.l.).	droqati|druqati		97945
duh	दुह्	6	P. Ā.	P. Ā.	duha~^		or , &c. (pl. Ā. , &c.; , &c.; , &c.; impf. P. , ; , &c.; Ā. pl. , ; 3. sg. , pl	dugDe|duhe|duhate|duhrate|duhre		94848
fD	ऋध्	6		Ā.	fDa~\			fDnoti|fRadDi|AnarDa|arDitA|arDizyati		38930
fDad	ऋधद्	6			fDada~		(by Sandhi for pres. p. of cl. 6).	fDat|fD		38947
fmP	ऋम्फ्	6	P.		fmPa~	hiMsAyAm	to hurt, kill			38955.1
fYj	ऋञ्ज्	6	P. Ā.		fYja~^	karaRe	to make straight or right, make proper, arrange, fit out, decorate, ornament			38849
gumP	गुम्फ्	6	P.		gumPa~	banDane	to string together, tie or string as a garland	°Payati		65966
Guq	घुड्	6	P.		Guqa~	rakzaRe	(= √ ) cl. 6. P. , to prevent, defend, protect, and (v.l.)	Guw|°qati		69796
inv	इन्व्	6	P.		inva~		to advance upon, press upon, drive			29294
ir	इर्	6	P.	P.	ira~	gatO	to go	irati		29342
jAtavedas	जातवेदस्	6			jAtavedasa~		(), (fr. √ , cl. 6) ‘having whatever is born or created as his property’, ‘all-p	°ta-|vid|vid		78614
jur	जुर्	6	P. Ā.		jura~^	vayohAnO	to become old or decrepit, decay, perish, -	a-jurya		80005
Kad	खद्	6	P.		Kada~		to be steady or firm or solid	KAd		61228
kfp	कृप्	6	Ā.	P.	kfpa~\		to mourn, long for (acc.)	kfpayati|akfpayat|kfpayat|kfpayatas|kfpAya	voice cp=Ā. vs attested=P.	54858
Kud	खुद्	6	P.		Kuda~		to sport wantonly or amorously	canIKudat|kanIKunat|Kun		61977
kuj	कुज्	6	P.	P.	kuja~	steye	to steal, : cl. 6. P. , to be crooked	kojati|kujati		51442
kumb	कुम्ब्	6		P.	kumba~	saMvaraRe	to cover,;	kumbati|°bayati		52471
kUq	कूड्	6	P.		kUqa~	BakzaRe	to eat, graze	kfq		53916
kuz	कुष्	6		P.	kuza~		to tear asunder	kuzita|kuzati|kuzyati|°te		53477
kzup	क्षुप्	6	P.	P.	kzupa~		to be depressed or afraid	kzupati		60118
lajj	लज्ज्	6	Ā.	P. Ā.	lajja~\		to be ashamed, blush, ; &c.	lajjayati|lajjApayati|lilajjizate|lAlajjyate	voice cp=Ā. vs attested=P. Ā.	181156
luq	लुड्	6	P.	P. Ā.	luqa~	gatO	to agitate, move, stir	luqati|loqayati|-loqya|loqyate	voice cp=P. vs attested=P. Ā.	182922
majj	मज्ज्	6	P.	P. Ā.	majja~	gatO	to sink (into), (acc. or loc.), go down, go to hell, perish, become ruined, &c. 	majjayati|amamajjat|mimaNkzati|mimajjizati|mimaNkzA	voice cp=P. vs attested=P. Ā.	154347
marj	मर्ज्	6	P.	P.	marja~	Sabde	(cf. √ ) cl. 1. 6. P. , , to sound,; (v.l. for , ).	mfj|marjati|mfYjati|muj|muYj		158462
mfC	मृछ्	6	Ā.	Ā.	mfCa~\	kzaye	to pass away, perish	mfcCate		167120
mfD	मृध्	6	P. Ā.		mfDa~^	varjane	to neglect, forsake, abandon	undane		167410
mfj	मृज्	6	P. Ā.	P. Ā.	mfja~^		to wipe, rub, cleanse, polish, clean, purify, embellish, adorn (Ā. also ‘one's s	mArzwi|marjayati|°te|mArjayati|°te		167121
muz	मुष्	6	P.	P. Ā.	muza~	grahaRe	to steal, rob, plunder, carry off (also with two acc. = take away from, deprive 	mus|muzyate|°ti|amozi|mozayati	voice cp=P. vs attested=P. Ā.	165859
naj	नज्	6	Ā.	Ā.	naja~\		to be ashamed (v.l. for ,; probably invented to explain ).	najate|lajj|nagna		103126
nu	नु	6	P. Ā.	P. Ā.	nu^	Sabde	to sound, shout, exult	nUyate|nAvayati|anUnavat|nunUzati|nunAvayizati		111762
nuq	नुड्	6	P.	P.	nuqa~	hiMsAyAm	to hurt, strike, kill, ()	nuqati		111771
pF	पॄ	6	P.	P. Ā.	pF		(√ , )	pfR|pfRati|piparti|pipIpfhi|papAra	voice cp=P. vs attested=P. Ā.	128909
piC	पिछ्	6	P.	P.	piCa~	viBAge	to press flat, squeeze, expand, divide	picCati		123508
pul	पुल्	6			pula~		to be great or large or high, to be piled or heaped up			126643
qimB	डिम्भ्	6		P. Ā.	qimBa~^	kzepe	to heap together, : cl. 4. 10. 6. P. , , (v.l. ,) Ā. , to throw	qepayate|qimp°|qimB°|qipyati|qipati		81417.2
qimp	डिम्प्	6		P. Ā.	qimpa~^	kzepe	to heap together, : cl. 4. 10. 6. P. , , (v.l. ,) Ā. , to throw	qepayate|qimp°|qimB°|qipyati|qipati		81417.1
riK	रिख्	6	P.	P.	riKa~	gatO	to go, move	riKati|A-√ riK|liK		177953
rimP	रिम्फ्	6	P.	P.	rimPa~	hiMsAyAm	(cf. √ ) cl. 6. P. to hurl, kill	riP|rimPati		178117
sad	सद्	6	P.	P. Ā.	sada~		to sit down (esp. at a sacrifice), sit upon or in or at (acc. or loc.)	sadyate|asAdi|sAdi|sAdayati|°te	voice cp=P. vs attested=P. Ā.	230505
sic	सिच्	6	P. Ā.	P. Ā.	sici~^	secane	to pour out, discharge, emit, shed, infuse or pour into or on (loc.), &c. &c.	sicyate|°ti|aseci|secayati|°te	attested has nasal → i~ (idit)	244032
sil	सिल्	6	P.		sila~	uYCe	(also written ) cl. 6. P. , to glean	Sil|Silati		217253.1
stFh	स्तॄह्	6	P.	P.	stFha~	hiMsAyAm	(cf. √ ) cl. 6. P. () , to injure, do harm	tfh|stfhati		254870.1
sU	सू	6	P. Ā.	Ā.	sU^		to and also and ; pf. , ; p. , q.v.; aor.	sUyate|sozavIti	voice cp=P. Ā. vs attested=Ā.	250729
SumB	शुम्भ्	6	P. Ā.	P. Ā.	SumBa~^	dIptO	to beautify, embellish, adorn, beautify one's self. (Ā.) look beautiful or hands	yaTA|SumBate|SuBAna|SumBamAna|pra-√ SumB		219616.1
Suz	शुष्	6	P.	P.	Suza~	darSane	(cf. √ ) cl. 6. P. (1. sg. also and p. ; See ). to hiss (as a serpent)	Svas|Suzati|-Suze|-SuzARa|A-√ Suz		220027
tF	तॄ	6	P. Ā.	P.	tF^		to pass across or over, cross over (a river), sail across, &c.	tArayati|°rayat|titIrzati|titarizati|°rIz°	voice cp=P. Ā. vs attested=P.	86817
tfmp	तृम्प्	6			tfmpa~	darSane	See √ .	°pati|tfp		86769
tfmP	तृम्फ्	6			tfmPa~		(= √ ) cl. 6. , to ,, Vārtt. 1	tfp|°Pati|satisfy		86772
tOdAdika	तौदादिक	6			tOdAdika		belonging to the roots (cl. 6)	tud-Adi		87297
tuj	तुज्	6	P. Ā.	P.	tuji~^	hiMsAyAm	to strike, hit, push	tuYjati|tojati|tujayat|tutujyAt|tUtujAna	attested has nasal → i~ (idit); voice cp=P. Ā. vs attested=P.	85813
tump	तुम्प्	6			tumpa~	hiMsAyAm	to hurt	pra-stump		85943
tumP	तुम्फ्	6			tumPa~	hiMsAyAm	to hurt	pra-stump		85943.1
tur	तुर्	6	Ā.	P. Ā.	tura~\		to hurry, press forwards, (p. ), (Ā. ) : cl. 4. (Imper. )	tutorti|turayate|°rayat|tUtUrzati|tarturARa	voice cp=Ā. vs attested=P. Ā.	85972
ud	उद्	6	P. Ā.	P.	udi~^	kzaraRe	to flow or issue out, spring (as water)	Ondidat|undidizati	attested has nasal → i~ (idit); voice cp=P. Ā. vs attested=P.	32059
und	उन्द्	6	P. Ā.	P.	unda~^	kzaraRe	to flow or issue out, spring (as water)	Ondidat|undidizati|undana|ud	voice cp=P. Ā. vs attested=P.	32059.1
uNK	उङ्ख्	6	P.	P.	uNKa~	gatO	&c., to go, move	uNKati|uNKAM-cakAra		30208
uYC	उञ्छ्	6	P.	P.	uYCa~	uYCe	to gather, glean,;; &c.	uYCati		30615
vas	वस्	6	P.	P.	vasa~	dIptO	to shine, grow bright (esp. applied to the dawn)	dUre|vAsayati		188560
vraSc	व्रश्च्	6	P.	P. Ā.	vraSca~	Cedane	to cut down or off or asunder, cleave, hew, fell (a tree), &c. &c.	vfScyate|vfScate|vraScayati|avavraScat|vivraScizati	voice cp=P. vs attested=P. Ā.	210711
yu	यु	6		P. Ā.	yu^		to also cl. 9. , ; pf. , 2. sg. , , Sch.; , ; aor. (?), ; Gr.; Prec. , ; fut. , 	yOti|yUyate|ayAvi|yAvayati|ayIyavat		171694
ard	अर्द्	7		P.	ard	gatO	to move, be moved, be scattered (as dust), and cl. 1. P. (, ‘to go, move’, )	ardati|ardati|ArdIt|anarda|fRatti		16095
fD	ऋध्	7	P.	Ā.	fD			fDnoti|fRadDi|AnarDa|arDitA|arDizyati	voice cp=P. vs attested=Ā.	38930
fYj	ऋञ्ज्	7	Ā.		fYj\	karaRe	to make straight or right, make proper, arrange, fit out, decorate, ornament			38849
hiMs	हिंस्	7	P. Ā.	P. Ā.	hiMs^	hiMsAyAm	to injure, harm, wound, kill, destroy, &c. &c.	hiMsyate|ahiMsi|a-hiMsyamAna|hiMsayati|ajihiMsat		262731
tvaYc	त्वञ्च्	7			tvaYc	gatO	to go	taYc|tvanakti		89085
ud	उद्	7	P.	P.	ud	kzaraRe	to flow or issue out, spring (as water)	Ondidat|undidizati		32059
GaR	घण्	8	P. Ā.		GaR^		P. v.l. for √ .	GfR		69362
Gf	घृ	8	P. Ā.		Gf^	dIptO	to shine, burn, : cl. 5. (or cl. 8. fr. √ ) Ā. P. , or , id.,.	jiGarti|GfR|GfRoti|°Rute|GarRoti		70066
inv	इन्व्	8	P.		inv		to advance upon, press upon, drive			29294
olaRq	ओलण्ड्	8		P.	olaRq	kzepe	or , , to throw out, eject, (cf. .)	olaRqati|olaRqayati|olaRqAM-|olaRqayAm-baBUva|OlaRqIt		40721
san	सन्	8	P. Ā.	P. Ā.	san^	AsvAdane	to gain, acquire, obtain as a gift, possess, enjoy	sanyate|sAyate|sAnayati|asIzaRat|sisAnayizati		231023
vfR	वृण्	8	P. Ā.	P.	vfR^	BakzaRe	to consume, eat, ()	vfRati	voice cp=P. Ā. vs attested=P.	204339
Cid	छिद्	9	Ā.	P.	Cid\	Cedane	to cut off, amputate, cut through, hew, chop, split, pierce, ; ; &c.	Cedayati|acicCidat|cicCitsu|cecCidIti|°dyate	voice cp=Ā. vs attested=P.	75907
dam	दम्	9	Ā.	P.	dam\		to be tamed or tranquillised, (Impv. )	dAmyata|damitvA|danas|damayati|°mayat	voice cp=Ā. vs attested=P.	90246
graT	ग्रथ्	9	P.	P. Ā.	graT	banDane	to fasten, tie or string together, arrange, connect in a regular series	graTati|°te|granTati|granTate|agranTizwa	voice cp=P. vs attested=P. Ā.	68437
heQ	हेढ्	9	P.		heQ		to be born again			263989
hew	हेट्	9	P.	P.	hew		to be wicked	heWRAti|heQ|heWayati|vi-√ heW		263975.1
hf	हृ	9	Ā.		hf\		(only p. , &c.; Pot. ,, and ,), to be angry or wroth.	hfRIte|hfRAna|[aBi]-hfRITAH|ahfRAt		263654
hF	हॄ	9	Ā.		hF\		(only p. , &c.; Pot. ,, and ,), to be angry or wroth.	hfRIte|hfRAna|[aBi]-hfRITAH|ahfRAt		263654.1
hru	ह्रु	9	P.		hru	darSane	(collateral form of √ ) cl. 9. P. (See ).	hvf|hruRAti|vi-√ hru		264806
inv	इन्व्	9	P. Ā.		inv^		to advance upon, press upon, drive			29294
ji	जि	9	Ā.	P. Ā.	ji\	darSane	Pass. , , , ; for and cl. 9. See √ )	jIyate|ajIyata|ajAyi|jAyizyate|jIyate	voice cp=Ā. vs attested=P. Ā.	79180
jinana	जिनन	9			jinana		(√ cl. 9) conquering	ji		79396
jri	ज्रि	9		P.	jri	vfdDO	(= √ ) cl. 1. 10. 9. , , , to grow old, (v.l.)	jF|jrayati|jriRAti|jrAyayati		80856
jrI	ज्री	9		P.	jrI	vfdDO	to grow old, (v.l.)	jrayati|jriRAti|jrAyayati		80856.1
jU	जू	9	P.	P.	jU		to press forwards, hurry on, be quick	ajIjavat|jijavayizati|pra-		80068
knu	क्नु	9	P. Ā.		knu^	Sabde	P. , or , , to sound	knunAti|°nIte|knUnAti|°nIte		57605
kU	कू	9	P. Ā.	Ā.	kU^	gatO	to sound, make any noise, cry out, moan, cry (as a bird), coo, hum (as a bee) &c	kavate|kokUyate|kokavIti|cokUyate	voice cp=P. Ā. vs attested=Ā.	53778
kzi	क्षि	9	P. Ā.	P. Ā.	kzi^	hiMsAyAm	to destroy, corrupt, ruin, make an end of (acc.), kill, injure, ; &c.	kzIyate|kzIyante|kzezwa|kzAyi|akzezyata		59376
lpI	ल्पी	9	P.		lpI	saNGAte	to join, unite, mix with, (v.l. for √ ).	lpinAti|lyinAti|lI		184149
lvI	ल्वी	9	P.		lvI	gatO	to go, move, approach, (v.l. for √ , or ).	lvinAti|lvInAti|vlI|plI		184152
lyI	ल्यी	9	P.		lyI	saNGAte	to join, unite, mix with, (v.l. for √ ).	lpinAti|lyinAti|lI		184149.1
maT	मथ्	9	P. Ā.	P. Ā.	maT^	viloqane	to stir or whirl round, &c. &c.	agnim|araRi|araRim|Urum|hastam		155187
pf	पृ	9	P.	P. Ā.	pf	rakzaRe	to bring over or to (acc.), bring out of, deliver from (abl.), rescue, save, pro	pArayati|°te|apIparat|pAryate|pAryate	voice cp=P. vs attested=P. Ā.	128300
ri	रि	9	P.	P. Ā.	ri	gatO	to release, set free, let go	repayati|arIripat|rirIzati|°te|rerIyate	voice cp=P. vs attested=P. Ā.	178179.1
Sam	शम्	9		P. Ā.	Sam^	prayatne	to toil at, fatigue or exert one's self (esp. in performing ritual acts)	Samyate|aSami|Samayati|SAmayati|aSISamat		212911
sF	सॄ	9	P.		sF	hiMsAyAm	(cf. √ , ) cl. 9. P. , to hurt injure, kill, (v.l.)	SF|svF|sfRAti		252038
si	सि	9	P. Ā.	P. Ā.	si^	banDane	to bind, tie, fetter	sAyayati|asIzayat|sisIzati|°te|sezIyate		243722
skaB	स्कभ्	9	P.	P.	skaB		to also cl. 1. Ā. ; pr. p. , ; , ; pf. , 2. du. , ; p. , ; aor. Gr.; fut. , , ; 	skamBayati|acaskamBat|skamBita|skaBAyati|skaBita		254241.1
skamB	स्कम्भ्	9	P.	P.	skamB		to also cl. 1. Ā. ; pr. p. , ; , ; pf. , 2. du. , ; p. , ; aor. Gr.; fut. , , ; 	skamBayati|acaskamBat|skamBita|skaBAyati|skaBita		254241
skumB	स्कुम्भ्	9	P.		skumB	grahaRe	(in native lists written ; connected with √ ) cl. 5. 9. P. (;) , ( ind.p.]), to 	skunB|skamB|skuBnoti|skuBnoti|skuptvA		254260
